City,Country,Lat,Lng,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
riyadh,sa,24.63,46.72,96.8,11,0,9.17
hamilton,bm,32.3,-64.78,85.62,74,20,13.87
kloulklubed,pw,7.04,134.26,80.6,88,75,6.93
karpogory,ru,64,44.44,56.45,52,44,4.81
komsomolskiy,ru,67.55,63.78,54.47,97,100,18.75
karratha,au,-20.74,116.85,61.13,15,0,10.98
hofn,is,64.25,-15.21,55.4,82,90,13.87
praya,id,-8.71,116.27,69.8,100,75,11.99
avarua,ck,-21.21,-159.78,77,61,0,18.34
tiksi,ru,71.64,128.87,36.65,88,76,12.84
suntar,ru,62.16,117.65,53.93,71,0,9.57
astoria,us,46.19,-123.83,63.66,93,90,14.99
saldanha,za,-33.01,17.94,57.2,82,99,12.75
leningradskiy,ru,69.38,178.42,35.93,89,92,8.84
pangnirtung,ca,66.15,-65.72,50,87,75,13.87
iqaluit,ca,63.75,-68.52,50,76,75,5.82
ilulissat,gl,69.22,-51.1,46.4,87,75,10.29
alta floresta,br,-9.87,-56.08,96.8,22,0,5.82
egvekinot,ru,66.32,-179.17,58.97,46,100,6.44
russell,nz,-35.26,174.12,45,94,2,3
kyabe,td,9.45,18.94,73.19,94,70,4.12
hirara,jp,24.8,125.28,84.53,81,100,28.1
sobolevo,ru,54.43,31.9,52.67,88,68,2.37
nelson bay,au,-32.72,152.14,50.18,61,0,13.87
sulecin,pl,52.44,15.12,60.94,59,0,3.69
nadym,ru,65.53,72.51,70.31,72,100,4.32
aykhal,ru,65.95,111.51,42.8,75,90,11.18
loikaw,mm,19.67,97.21,64.73,98,49,0.89
lerwick,gb,60.15,-1.15,57.2,93,75,12.75
sitka,us,37.17,-99.65,102.35,22,14,24.56
petropavlovsk-kamchatskiy,ru,53.05,158.65,51.8,100,90,4.47
dubbo,au,-32.25,148.6,44.6,81,90,8.05
karoi,zw,-16.82,29.68,54.47,72,0,5.48
esperance,au,-33.86,121.89,50,66,0,11.41
puerto ayora,ec,-0.74,-90.35,76.28,65,20,20.8
cidreira,br,-30.17,-50.22,56.99,88,0,9.01
bang len,th,14.02,100.17,84.06,70,20,9.17
jamestown,sh,-15.94,-5.72,68.15,77,0,14.9
victoria,sc,-4.62,55.45,78.8,83,40,10.29
cuamba,mz,-14.8,36.54,58.25,82,0,3.58
nikolskoye,ru,59.7,30.79,60.85,82,40,4.47
thompson,ca,55.74,-97.86,75.2,41,75,5.82
luderitz,na,-26.65,15.16,59,47,0,2.24
yellowknife,ca,62.45,-114.38,77,44,40,8.05
catalina,ca,48.52,-53.08,57,80,54,1.99
mareeba,au,-16.99,145.42,57.2,82,42,9.17
faanui,pf,-16.48,-151.75,76.97,70,3,14.97
torbay,ca,47.66,-52.73,65.12,77,75,12.75
kruisfontein,za,-34,24.73,51.77,64,85,0.96
merauke,id,-8.49,140.4,77.69,84,97,21.43
port alfred,za,-33.59,26.89,57.99,87,31,4
acapulco,mx,16.86,-99.88,86,70,75,9.17
gorontalo,id,0.54,123.06,74.45,92,78,3.53
zaria,ng,11.11,7.72,71.75,92,67,7.25
busselton,au,-33.64,115.35,54.97,81,43,11.52
harper,lr,4.38,-7.71,76.25,85,8,10.09
bluff,nz,-46.6,168.33,37,91,98,1.99
sibolga,id,1.74,98.78,81.83,77,98,7.11
bethel,us,60.79,-161.76,55.4,87,90,11.41
hilo,us,19.71,-155.08,73.35,94,90,9.17
vasto,it,42.12,14.71,72.86,57,0,2.24
cocobeach,ga,1.01,9.58,78.8,88,40,8.05
byron bay,au,-28.65,153.62,47.82,93,0,3.36
okhotsk,ru,59.36,143.24,55.37,91,100,5.39
mar del plata,ar,-46.43,-67.52,40.97,93,100,7.23
pisco,pe,-13.71,-76.2,69.19,30,0,8.05
cumberland,us,41.97,-71.43,88.09,62,20,6.93
sebinkarahisar,tr,40.29,38.42,55.37,77,91,2.66
deputatskiy,ru,69.3,139.9,36.11,84,100,7.7
turukhansk,ru,65.8,87.96,67.61,65,0,12.97
changji,cn,32.07,116.17,75.35,96,88,4.54
anupgarh,in,29.19,73.21,94.43,44,4,9.24
mandalgovi,mn,45.76,106.27,65.45,67,93,5.19
lompoc,us,34.64,-120.46,70.18,77,90,9.17
ribeira grande,pt,38.52,-28.7,73.4,83,40,5.82
kazaki,ru,52.62,38.27,56.45,93,27,1.88
santa vitoria do palmar,br,-33.52,-53.37,53.75,87,0,5.66
kalemie,cd,-5.95,29.2,63.47,61,0,4.09
padang,id,-0.92,100.36,78.41,90,100,9.98
tongren,cn,27.72,109.18,73.01,94,99,2.21
colquiri,bo,-17.42,-67.13,51.59,31,100,4.74
visby,se,57.64,18.3,58.23,87,0,3.36
nuuk,gl,64.17,-51.74,50,87,75,8.05
sikonge,tz,-5.63,32.75,71.6,56,0,9.17
chicama,pe,-7.84,-79.15,66.2,77,0,11.41
agde,fr,43.31,3.47,85.14,33,0,11.41
aklavik,ca,68.22,-135.01,68.72,82,75,5.82
san angelo,us,31.46,-100.44,93.29,46,1,10.29
geraldton,au,-28.77,114.6,44.6,93,0,6.93
khatanga,ru,71.98,102.47,54.65,63,0,3.11
bolobo,cd,-2.17,16.23,82.19,59,48,4.38
senanga,zm,-16.1,23.3,56.99,36,0,4.81
nemuro,jp,43.32,145.57,58.25,97,91,14.14
atar,mr,20.52,-13.05,99.65,20,67,14.81
mehamn,no,71.03,27.85,44.6,81,75,11.41
hanstholm,dk,57.12,8.61,57.99,73,41,9.84
sur,om,22.57,59.53,82.37,62,25,13.13
pouembout,nc,-21.12,164.9,65.63,70,0,7.47
port augusta,au,-32.49,137.76,46.42,81,90,5.82
shitanjing,cn,39.23,106.34,71.01,62,100,1.83
barrow,us,39.51,-90.4,91.35,59,40,8.05
iskateley,ru,67.68,53.15,43.49,90,56,5.84
meulaboh,id,4.14,96.13,81.29,79,100,7.87
waipawa,nz,-39.94,176.59,46,82,0,8.01
nynashamn,se,58.9,17.95,60.73,72,0,2.24
comodoro rivadavia,ar,-45.87,-67.48,48.2,81,20,6.93
katsuura,jp,33.93,134.5,75.76,94,75,5.82
saskylakh,ru,71.97,114.09,41.69,76,100,10.49
takoradi,gh,4.89,-1.75,74.45,91,94,5.44
manhattan,us,39.18,-96.57,97.3,44,1,12.75
kulhudhuffushi,mv,6.62,73.07,80.39,83,100,26.78
mount gambier,au,-37.83,140.78,46.4,87,90,8.05
gucheng,cn,32.27,111.65,71.03,94,100,3.47
sao filipe,cv,14.9,-24.5,73.73,73,100,4.56
chokurdakh,ru,70.62,147.9,37.55,83,100,9.51
surt,ly,31.21,16.59,77.69,72,0,13.22
odesskoye,ru,54.21,72.97,60.05,87,35,10.27
tuktoyaktuk,ca,69.44,-133.03,60.8,82,75,6.93
northam,au,-31.65,116.67,44.6,93,0,3.36
barra do corda,br,-5.5,-45.25,83.45,53,86,3.53
lavrentiya,ru,65.58,-170.99,58.61,67,93,2.04
rakke,ee,58.99,26.24,53.21,94,54,6.71
aleksinac,rs,43.54,21.71,69.8,52,0,3.36
diourbel,sn,14.65,-16.23,80.93,67,0,13.62
butaritari,ki,3.07,172.79,83.45,67,100,4.03
waitati,nz,-45.75,170.57,42.01,55,34,1.99
carutapera,br,-1.2,-46.02,79.85,80,0,6.06
bagdarin,ru,54.44,113.59,58.07,76,100,1.59
parkes,au,-33.14,148.18,48,77,7,6.8
roald,no,62.58,6.12,57.25,82,0,4.7
anadyr,ru,64.73,177.51,59,82,100,8.95
vieux fort,lc,13.72,-60.95,85.96,66,20,19.46
praia da vitoria,pt,38.73,-27.07,73.69,78,40,9.04
vega de alatorre,mx,20.03,-96.65,88.85,56,76,3.04
filingue,ne,14.35,3.32,98.21,25,10,4.59
marquette,us,46.54,-87.4,73.15,42,40,5.82
rawson,ar,-43.3,-65.11,55.4,62,75,18.34
menongue,ao,-14.66,17.68,54.83,33,0,5.7
rocha,uy,-34.48,-54.34,50.15,89,0,7.02
mayo,ca,63.59,-135.9,73.4,43,40,4.7
katherine,au,-14.47,132.26,51.8,53,46,5.82
yumen,cn,40.29,97.04,63.65,70,93,10.11
coihaique,cl,-45.58,-72.07,34.45,99,90,4.7
san patricio,mx,19.22,-104.7,80.6,100,90,23.04
touros,br,-5.2,-35.46,80.6,74,20,9.17
norman wells,ca,65.28,-126.83,71.6,60,20,3.36
doha,qa,25.29,51.53,91.2,32,0,10.29
arlit,ne,18.74,7.39,101.81,15,67,5.66
the valley,ai,18.22,-63.06,86.79,66,20,14.99
arona,es,28.1,-16.68,68.9,69,20,23.04
kalmunai,lk,7.42,81.82,77.33,77,94,3.15
arinos,br,-15.92,-46.11,73.01,47,80,3.87
portland,au,-33.35,149.98,42.06,86,91,15.01
sao cristovao,br,-11.01,-37.21,80.6,65,40,11.41
tilichiki,ru,60.47,166.1,57.89,81,100,4.45
kodiak,us,39.95,-94.76,89.89,20,1,16.11
severo-kurilsk,ru,50.68,156.12,44.21,97,63,7.9
cape coast,gh,5.11,-1.24,75.35,91,12,8.66
batemans bay,au,-35.71,150.18,42.01,86,0,3.53
canto do buriti,br,-8.11,-42.94,81.83,34,0,3.56
praia,cv,14.92,-23.51,78.8,65,75,8.05
palanga,lt,55.92,21.07,59,87,75,6.93
saint george,bm,32.38,-64.68,85.62,74,20,13.87
duluth,us,46.77,-92.13,71.76,88,75,12.75
ponta do sol,cv,17.2,-25.09,77,73,75,4.7
monrovia,lr,6.33,-10.8,77,94,75,9.17
vao,nc,-22.67,167.48,67.61,56,100,7.2
viransehir,tr,37.24,39.76,77.33,29,0,6.44
villa rica,pe,-10.74,-75.27,54.47,83,88,3.58
kavaratti,in,10.57,72.64,83.09,75,100,25.75
copperas cove,us,31.12,-97.9,93.97,49,75,14.88
mount isa,au,-20.73,139.49,44.6,52,0,3.36
castro,cl,-42.48,-73.76,46.4,87,75,13.87
champerico,gt,14.3,-91.92,89.6,55,40,6.93
naron,es,43.52,-8.15,63.9,77,20,9.17
miri,my,4.41,114.01,77.15,89,100,6.93
yen bai,vn,21.7,104.87,75.17,91,100,0.85
matagami,ca,49.76,-77.63,69.8,37,20,8.05
kolyvan,ru,55.31,82.74,62.6,100,90,4.47
simpang,id,4.36,96.17,72.29,94,100,2.66
sosua,do,19.77,-70.52,89.02,59,40,17.22
gimli,ca,50.63,-96.99,70.36,60,100,3
saurimo,ao,-9.66,20.4,66.89,27,0,6.93
mercedes,ar,-29.18,-58.08,56.45,78,0,7.27
chuy,uy,-33.69,-53.46,53.39,88,0,7.11
mahebourg,mu,-20.41,57.7,69.37,77,75,12.75
villanueva,mx,22.36,-102.89,75.2,41,40,11.41
pirenopolis,br,-15.85,-48.96,80.6,28,40,8.05
yulara,au,-25.24,130.99,44.6,65,0,8.05
sorland,no,67.67,12.69,48.2,81,20,14.99
kargat,ru,55.19,80.28,55.37,92,82,8.14
alice springs,au,-23.7,133.88,37.4,74,0,5.82
vanavara,ru,60.35,102.28,61.31,83,0,7.63
port hedland,au,-20.31,118.58,51.8,43,0,5.82
krasnodon,ua,48.31,39.72,63.83,75,0,4.03
wanning,cn,18.8,110.4,73.37,90,100,3.4
upernavik,gl,72.79,-56.15,44.75,89,100,11.43
aksu,kz,52.04,76.93,68,82,40,8.95
nekhayevskiy,ru,50.41,41.76,64,86,0,4.07
isla vista,us,34.41,-119.86,75.74,47,0,6.93
osmena,ph,12.17,124.59,83.99,74,100,16.96
concarneau,fr,47.88,-3.92,65.53,77,75,9.17
walvis bay,na,-22.95,14.51,62.85,36,0,6.93
aksay,kz,51.17,53.01,65.99,73,21,14.88
vostok,ru,46.45,135.83,63.47,98,100,3.62
shimoda,jp,34.7,138.93,73.26,94,75,1.12
inuvik,ca,68.36,-133.71,67.48,60,40,5.82
kautokeino,no,69.01,23.04,46.55,87,100,2.19
bucerias,mx,20.76,-105.33,89.28,52,75,12.75
shahr-e babak,ir,30.12,55.12,76.07,39,0,12.71
san jose,gt,16.98,-89.9,92.27,41,100,5.14
umm kaddadah,sd,13.6,26.69,72.47,77,100,26.71
huarmey,pe,-10.07,-78.15,62.21,89,6,17.16
noumea,nc,-22.28,166.46,53.6,87,0,4.7
longyearbyen,sj,78.22,15.64,44.6,70,75,5.82
kalabo,zm,-15,22.67,57.89,34,0,4.03
thanh hoa,vn,10.21,106.33,75.2,100,75,8.05
babayurt,ru,43.6,46.78,71.75,62,0,3.2
katangli,ru,51.71,143.23,64.19,84,9,14.58
hearst,ca,49.69,-83.67,79.13,28,35,3.76
lusambo,cd,-4.97,23.44,73.37,35,0,2.75
bunia,cd,1.56,30.25,65.81,74,0,3.69
bubaque,gw,11.28,-15.83,78.95,82,100,9.6
port hardy,ca,50.7,-127.42,64.4,77,90,9.17
saint-louis,re,-21.27,55.42,64.29,64,20,21.92
calvinia,za,-31.47,19.78,48.17,52,85,3.8
dunedin,nz,-45.87,170.5,42.01,56,34,1.99
maragogi,br,-9.01,-35.22,70.49,86,14,5.28
salinopolis,br,-0.61,-47.36,82.73,75,0,14.52
barjora,in,23.43,87.29,84.53,76,67,10.54
tank,pk,32.22,70.39,76.61,70,2,3.58
restrepo,co,3.82,-76.52,91.4,38,20,4.7
ambunti,pg,-4.22,142.82,71.21,99,26,0.45
pangody,ru,65.85,74.49,72.11,70,99,13.96
warri,ng,5.52,5.75,78.05,84,100,8.99
port blair,in,11.67,92.75,83.99,81,86,20.8
chapais,ca,49.78,-74.86,68,42,20,12.75
dmitriyevka,ru,54.05,40.44,62.01,98,24,6.15
vallenar,cl,-28.58,-70.76,61.85,53,0,5.68
broome,au,-17.97,122.23,60.8,36,67,5.82
virginia beach,us,36.85,-75.98,94.53,59,75,13.87
issoudun,fr,46.95,1.99,77.81,36,0,4.7
eyl,so,7.98,49.82,78.59,60,0,26.06
pedra azul,br,-16.01,-41.28,66.53,71,94,7.92
linqiong,cn,30.42,103.46,77,83,0,4.47
maceio,br,-9.67,-35.74,78.8,61,20,5.82
lukovetskiy,ru,64.29,41.92,53.6,87,0,4.47
pimentel,pe,-6.84,-79.94,66.2,29,0,14.99
kindu,cd,-2.95,25.92,74.27,47,0,2.19
ndola,zm,-12.97,28.64,53.03,57,0,4.76
sambava,mg,-14.27,50.17,63.47,80,17,5.93
yafran,ly,32.06,12.53,66.71,68,0,3.83
isangel,vu,-19.55,169.27,66.2,77,75,10.51
huaiyuan,cn,32.97,117.2,75.89,90,100,8.3
rio cuarto,ar,-33.13,-64.35,69.8,43,0,34.45
tramore,ie,52.16,-7.15,63,89,68,8.55
rancagua,cl,-34.17,-70.74,55.4,62,100,2.24
cap malheureux,mu,-19.98,57.61,69.48,77,75,12.75
udachnyy,ru,66.42,112.4,42.8,75,90,11.18
san agustin acasaguastlan,gt,14.95,-89.97,77.51,69,47,3.42
illapel,cl,-31.63,-71.17,54.83,78,100,6.26
chopinzinho,br,-25.86,-52.53,51.77,79,0,1.99
troitsko-pechorsk,ru,62.71,56.19,50.87,93,100,9.78
vidim,ru,56.41,103.11,60.23,97,33,2.66
kapiri mposhi,zm,-13.97,28.68,51.95,72,0,5.32
haines junction,ca,60.75,-137.51,58.07,57,100,2.15
itarema,br,-2.92,-39.92,78.05,75,76,8.28
primo tapia,mx,32.22,-116.92,72.43,73,20,14.99
duncan,us,34.5,-97.96,95.9,44,40,13.87
abiramam,in,9.44,78.44,86,62,20,2.24
brewster,us,41.76,-70.08,82.42,83,90,11.41
kiunga,pg,-6.12,141.3,70.31,99,73,0.98
soyo,ao,-6.13,12.37,73.4,83,0,5.82
kimbe,pg,-5.56,150.15,74.45,91,0,1.68
kango,ga,0.19,10.1,74.27,93,59,2.77
kampong cham,kh,11.99,105.46,78.41,86,99,8.32
pitimbu,br,-7.47,-34.81,80.6,69,20,16.11
bambous virieux,mu,-20.34,57.76,69.39,77,75,12.75
mountain home,us,43.13,-115.69,83.7,26,40,4.7
zurrieq,mt,35.83,14.47,75.06,64,0,4.7
caraballeda,ve,10.61,-66.85,80.19,83,75,4.7
dingle,ie,52.14,-10.27,60.8,77,75,6.93
careiro da varzea,br,-3.2,-59.81,83.89,78,40,3.36
mount vernon,us,38.73,-77.1,94.46,49,20,9.17
vilyuysk,ru,63.75,121.63,49.61,61,0,15.35
brae,gb,60.4,-1.35,57.2,93,100,16.11
vila velha,br,-3.71,-38.6,82.47,69,0,13.87
clyde river,ca,70.47,-68.59,39.2,100,90,19.46
oranjemund,na,-28.55,16.43,56.27,73,0,6.11
buala,sb,-8.15,159.59,79.67,80,100,6.69
palu,id,-0.9,119.87,73.55,93,100,3.85
uvalde,us,29.21,-99.79,93.51,44,20,13.87
berlevag,no,70.86,29.09,43.99,81,75,17.22
mednogorsk,ru,51.41,57.59,70.13,60,98,17.83
caravelas,br,-17.73,-39.27,71.75,73,100,17.94
chongwe,zm,-15.33,28.68,51.77,68,0,3.24
petatlan,mx,17.52,-101.27,85.43,70,86,11.01
baruun-urt,mn,46.68,113.28,65.63,77,62,4.92
nanortalik,gl,60.14,-45.24,41.33,93,100,3.22
colombia,co,3.38,-74.8,91.37,30,37,10.8
lang son,vn,21.83,106.73,74.81,95,100,2.89
tura,ru,64.27,100.22,53.93,73,5,10.8
kaduy,ru,59.2,37.15,59,93,40,4.47
tautira,pf,-17.73,-149.15,78.35,54,20,19.55
klaksvik,fo,62.23,-6.59,51.8,100,96,11.41
bahia blanca,ar,-38.72,-62.27,60.41,60,100,15.35
flinders,au,-34.58,150.85,52.07,58,0,10.29
mitsamiouli,km,-11.38,43.28,77.33,75,82,18.19
vittorio veneto,it,45.99,12.3,64.42,61,0,2.24
porosozero,ru,62.72,32.71,55.37,69,100,5.68
fairfield,us,38.25,-122.04,80.15,42,1,5.82
sao felix do xingu,br,-6.64,-51.99,83.63,48,0,2.13
fomboni,km,-12.28,43.74,76.79,71,0,11.39
nantucket,us,41.28,-70.1,79.41,94,90,12.75
pau brasil,br,-15.46,-39.65,64.91,86,50,5.64
kuroiso,jp,36.97,140.05,66.99,95,100,1.74
ulaangom,mn,49.98,92.07,59.51,60,7,1.77
oyem,ga,1.6,11.57,68.51,98,100,3.69
nha trang,vn,12.24,109.19,84.2,74,40,2.24
kirakira,sb,-10.46,161.92,78.41,85,72,13.24
pevek,ru,69.7,170.27,33.23,93,93,5.39
kutum,sd,14.2,24.66,84.71,39,95,8.12
lahaina,us,20.87,-156.68,80.38,69,75,14.99
ossora,ru,59.24,163.07,56.27,91,100,2.19
roebourne,au,-20.77,117.15,60.77,16,0,10.71
deep river,ca,46.1,-77.49,81.25,44,1,4.63
san policarpo,ph,12.18,125.51,81.11,75,100,11.61
muddebihal,in,16.33,76.13,74.63,82,72,14.83
washington,us,38.9,-77.04,94.48,49,20,9.17
phan thiet,vn,10.93,108.1,73.91,94,100,6.96
ayabaca,pe,-4.64,-79.72,85.79,37,0,9.53
barra dos coqueiros,br,-10.91,-37.04,80.6,65,40,11.41
kidal,ml,18.44,1.41,94.25,27,61,11.03
usmajac,mx,19.87,-103.55,78.8,78,75,6.93
andenes,no,69.31,16.12,46.83,71,75,5.82
college,us,64.86,-147.8,66.49,77,90,0.67
pareora,nz,-44.49,171.21,41,57,55,5.01
estepa,es,37.29,-4.88,79.39,64,0,13.87
platteville,us,42.73,-90.48,86.22,70,40,8.05
gigmoto,ph,13.78,124.39,84.17,74,100,28.81
biak,id,-0.91,122.88,64.19,99,100,4.5
koppies,za,-27.24,27.57,47.27,34,0,3.71
shakawe,bw,-18.36,21.84,56.27,39,0,4.59
kitimat,ca,54.02,-128.69,57.69,93,90,18.34
bani,do,18.28,-70.33,84.61,74,75,11.41
havre-saint-pierre,ca,50.23,-63.6,69.8,77,90,11.41
kviteseid,no,59.4,8.49,52.85,78,100,1.92
gambela,et,8.25,34.59,66.71,82,46,4.85
bonavista,ca,48.65,-53.11,57,84,50,5.01
boende,cd,-0.28,20.88,74.27,87,49,3.51
sosnovoborsk,ru,56.12,93.34,59,93,40,3.04
balurghat,in,25.22,88.78,86.51,74,87,4.65
iberia,pe,-11.41,-69.49,80.93,66,70,4.74
cananea,mx,30.98,-110.3,89.26,29,20,5.82
mahibadhoo,mv,3.78,72.97,78.77,84,100,12.62
yarim,ye,14.3,44.38,72.65,68,73,3.33
porto tolle,it,44.95,12.32,76.44,57,0,6.93
biu,ng,10.61,12.19,80.39,68,100,11.16
nome,us,30.04,-94.42,91.26,70,40,10.29
mamallapuram,in,12.63,80.17,86,79,20,6.93
dzhebariki-khaya,ru,62.22,135.8,59.87,96,100,9.75
kindberg,at,47.51,15.45,63.82,64,75,4.7
lalmohan,bd,22.34,90.74,82.91,83,96,3.67
kamenka,ru,53.19,44.05,63,95,100,7.34
cabo san lucas,mx,22.89,-109.91,88.02,43,20,13.87
shumskiy,ru,54.83,99.13,55.37,93,3,3.11
zhigansk,ru,66.77,123.37,46.55,62,0,29.42
kahului,us,20.89,-156.47,79.93,69,75,14.99
catia la mar,ve,10.6,-67.03,80.06,83,75,4.7
marawi,sd,18.48,31.82,88.67,39,0,18.16
lagos,ng,6.46,3.39,78.8,83,20,6.93
namibe,ao,-15.19,12.15,68.33,89,5,4.79
nova olimpia,br,-14.8,-57.29,87.05,35,45,3.38
trinidad,bo,-14.83,-64.9,82.4,61,37,3.36
rosarito,mx,27.04,-109.91,91.38,40,75,6.93
supaul,in,26.12,86.6,85.79,70,29,5.44
whitefish,us,48.41,-114.33,68.41,63,75,8.05
kondinskoye,ru,59.65,67.41,55.55,82,86,8.59
gusau,ng,12.17,6.66,80.39,67,12,10.63
poya,nc,-21.35,165.16,66.71,66,36,9.46
ketchikan,us,55.34,-131.65,57.2,93,90,16.11
beringovskiy,ru,63.05,179.32,62.21,69,89,4.03
rumphi,mw,-11.02,33.86,56.99,73,48,7.34
linxia,cn,35.6,103.21,58.79,59,100,6.49
viedma,ar,-40.81,-62.99,59.87,60,100,20.15
lieksa,fi,63.32,30.02,54.29,83,98,6.31
sept-iles,ca,50.2,-66.38,74.64,44,75,19.46
naze,jp,28.37,129.48,80.6,94,75,12.75
ferrol,es,43.48,-8.23,63.32,77,20,9.17
fairmont,us,40.64,-97.59,93.29,50,1,9.17
loa janan,id,-0.58,117.09,72.83,99,96,2.17
roxas,ph,10.32,119.34,83.27,77,100,25.57
kununurra,au,-15.77,128.74,60.8,44,50,5.82
namie,jp,37.52,140.86,68.72,69,93,3.04
tingo maria,pe,-9.29,-76.01,72.14,69,20,5.53
saint-malo,fr,48.65,-2.02,63.18,82,0,9.17
vari,gr,37.83,23.8,74.19,44,0,5.82
saint-pierre,pm,46.77,-56.17,60.3,82,0,11.41
banda aceh,id,5.56,95.32,83.45,76,100,17.6
rafaela,ar,-31.25,-61.49,69.03,31,0,8.01
along,in,28.17,94.8,57.89,92,17,4.45
sucua,ec,-2.46,-78.17,69.8,88,75,5.82
palmer,us,61.6,-149.11,63.72,63,40,14.99
mayya,ru,61.74,130.28,60.8,77,40,13.42
corinto,ni,12.48,-87.17,84.2,83,75,6.93
antsohihy,mg,-14.88,47.99,73.19,60,58,26.06
jupiter,us,26.93,-80.09,90.09,66,1,10.29
kudahuvadhoo,mv,2.67,72.89,81.11,73,100,8.57
hami,cn,42.84,93.51,71.03,56,32,4.38
leopold,au,-38.18,144.47,46.29,93,75,8.05
zhuhai,cn,40.71,112.04,66.2,82,54,4.47
lillooet,ca,50.69,-121.94,65.1,49,40,27.51
san luis,mx,32.49,-114.78,96.73,35,40,19.46
port macquarie,au,-31.43,152.91,48.83,50,0,11.41
otukpo,ng,7.19,8.13,75.71,91,81,3.22
bilibino,ru,68.06,166.44,39.53,93,100,3.13
tuatapere,nz,-46.13,167.69,37,91,100,1.99
ipixuna,br,-1.76,-48.8,77.69,93,61,3.47
nagapattinam,in,10.76,79.84,80.57,81,100,8.01
inhambane,mz,-23.87,35.38,64.4,88,0,5.23
tsaratanana,mg,-16.8,47.65,56.81,69,9,10.22
fortuna,us,40.6,-124.16,74.34,64,1,13.87
ilo,pe,-17.65,-71.34,66.2,72,90,9.17
nouadhibou,mr,20.93,-17.03,71.6,78,70,14.99
buncrana,ie,55.13,-7.45,60.8,77,40,9.17
samarai,pg,-10.62,150.67,72.47,91,100,4.81
la presa,us,32.71,-117,74.68,73,20,14.99
wahiawa,us,21.5,-158.02,82.17,83,75,14.99
